Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
Abbott India,500488,ABBOTINDIA,Pharmaceuticals & Biotechnology,31150,32.32,5917.31,15.64,683.45,49.09,45.58,65.27,66193.75,4.2,13.57,19.46,34.24,10.04,1627.92,959.76,23.91,44.47,21.78,49.31,24.9,21.11,9.26,9.38,21,18.98,21,18.98,19.72,0,1372.49,1011.04,19.16,17.73,17.38,9.35,151.69,174.88,271,269.83,2649.85,2313.54,335.98,196.67,3334.4,2984.2,4591.58,3118.04,4792.44,-381.56,-849.22,1327,1224.59,3.8,3.86,1.75
ABC India,520123,,Transport Services,84.06,5.85,115.92,0.83,2.44,21,26.63,27.02,45.54,-43.03,11.06,3.87,5.02,0.25,3.58,2.79,2.34,7.37,3.27,21.97,38.6,59.99,11.13,-3.48,-9.03,-13.4,-9.03,-13.4,12.26,2.36,4.94,2.38,-0.99,-8.75,20.28,7.72,18.42,12.2,8.16,13.73,14.29,12.87,9.82,19.6,30.37,8.21,11.52,9.26,10.06,-0.03,-1.87,69.04,63.56,65.61,65.31,0
Abha Power,,ABHAPOWER,Industrial Products,42.95,,79.18,1.57,3.35,12.22,12.81,30.96,79.83,,,,18.31,1.14,15.42,-8.16,7.18,15.28,4.38,12.22,84.11,58.87,8.78,,120.03,,30.17,,,,,,75.42,,,0.33,17.66,,6.13,,13.72,,18.21,21.15,36.59,-9.7,,15.23,,-23.92,,,,,,0
Abhinav Capital,532057,,Finance,136,9.66,85.36,1.2,2.3,13.68,59.23,-4.15,94.17,-21.84,26.49,10.81,10.04,20.08,28.5,-22.6,9.17,14.68,4.44,13.33,1245.52,0,-6.57,4.78,-36.34,3.27,-36.34,3.27,-13.9,0.85,7.86,5.22,-10.03,14.21,-1.19,16.45,2.16,10.65,0.02,0.03,18.99,-10.59,0.02,0,85.2,21.73,21.8,21.73,21.8,13.44,14.26,67.15,45.95,,,0
Abhinav Leasing,538952,,Finance,1.33,2.28,31.91,1.09,-0.09,97,,0.89,6.65,-36.06,10.7,-12.13,2.89,0.32,0.52,7.47,0.37,28.9,1.61,100,-49.7,8.6,7.36,5.33,56.5,62.98,56.5,62.98,28.39,0,1.34,0.13,-7.85,21.67,19.25,16.18,0,0,0.21,0.03,-24.94,1.4,0.07,25.5,1.49,-17.73,8.6,-17.73,8.81,0.33,-26.04,1.12,1.12,7.96,46.92,0
Abhishek Finle.,538935,,Finance,48.7,2.81,6.36,3.73,0.1,111.43,374.33,-33.94,22.46,37.18,32.01,17.53,2.92,41.59,2.82,-0.66,2.72,4.51,7.72,111.71,209.53,17.76,-3.69,10.32,3.23,27.54,0.56,26.75,7.83,-0.46,0.18,0.12,-1.89,37.04,6.42,29.31,0.02,0.07,0.04,0.06,1.64,1.3,0.05,0.02,3.18,0.02,0.47,0.11,0.57,-0.09,-0.03,9.62,9.36,0.47,0.43,0
Abhishek Infra.,539544,,Realty,6.76,,7.57,0.88,-0.44,29.55,,-338,3.41,-3.98,30.3,16.64,-4.04,,0.09,-0.01,-2.02,-4.45,2.07,29.55,2288.49,2444.92,,,6.04,,13.97,,,-3.24,-0.21,-0.21,6.04,,,-99.43,0.92,,0,,3.01,,0,1.23,4.64,-2.14,-2.86,-2.14,-2.86,0,-0.01,7.82,8.62,0,,0
Abhishek Integr.,,AILIMITED,Construction,43.9,,20.18,2.58,1.71,30.09,25.66,23.11,26.43,-53.79,,41.09,9.32,1,0.38,1.05,5.36,12.99,4.95,30.09,100.48,43.84,25.8,104.89,27.24,102.84,27.09,2.66,,0.4,1.27,0.62,44.63,116.71,,70.32,1.99,,1.59,,3.7,,2.08,7.83,8,-1.05,-5.5,-0.15,-2.94,1.23,-1.9,12.98,,-0.41,,0
Abirami Fin.,511756,,Finance,49.98,22.49,20.46,1.35,0.93,24.41,53.98,-53.98,26.99,-16.69,58.48,94.53,29.31,,18.48,-0.51,31.42,44.26,4.69,23.91,0,0,,,71.6,29.38,75.35,32.13,20.97,6.57,4.04,3.26,116.87,21.48,12.93,,0,0,2.08,2.26,5.14,4.79,0.01,0,18.84,14.3,14.14,-6.67,-6.81,24.66,25.12,12.9,13.22,,,
ABM Knowledge,531161,,IT - Software,173.1,7.62,269.59,1.47,8.09,13.1,21.4,23.47,346.24,9.77,12.18,24.34,6.66,4.21,22.07,13.56,5.81,8.61,4.13,14.84,236.13,196.99,-1.1,6.05,1.48,0.27,1.48,0.27,1.12,-0.01,20.42,15.54,-0.32,0.2,-0.08,13.48,0,0,44.06,45.03,66.39,40.28,41.91,0,66.63,19.98,37.24,21.34,39.91,-25.24,-22.42,99.71,93.63,,,0
Abram Food,544422,,Food Products,109,,17.09,,8.75,11.37,17.23,-84.6,56.18,,,,37.13,0.88,0.05,-1.7,14.01,24.88,11.09,11.37,27.05,42.66,44.07,,192.7,,17.49,,,,,,122.4,,,54.75,2.53,,0.77,,1.89,,2.23,7.13,6.4,-4.37,,-2.3,,-2.06,,,,,,0
Abril Paper,544500,,Industrial Products,49.38,,12.97,,2.44,20.24,27.95,-12.46,39.41,,,,,0.65,2.25,-3.34,,20.04,12.02,20.24,126.77,93.42,,,,,,,,,,,,,,791.8,,,,,,,0.49,1.64,9.78,,,,,,,,,,,
ABS Marine,,ABSMARINE,Transport Services,197.75,11.88,432.27,2.11,11.05,18.05,17.89,10.84,485.48,-31.31,,,16.36,2.7,121.98,-69.03,9.62,14.94,3.75,18.05,31.53,92.89,35.92,14.56,305.83,150.27,,,,,20.32,12.4,37.19,20.81,,21.49,61.15,93.84,91.4,124.68,-2.25,17.82,183.38,178.4,170.83,-71.21,-22.56,61.1,101.31,-230.33,-235.09,,,,,0
ACC,500410,ACC,Cement & Cement Products,1829,12.18,25412.61,1.85,128.75,22.11,14.71,20.07,34346.29,-24.71,6.42,-8.73,11.49,1.51,1649.27,-241.65,7.91,14.69,4.59,23.09,20.25,16.31,10.45,6.81,6.62,11.16,6.62,11.16,13.92,2.16,2335.37,1766.73,8.54,8.63,10.42,9.04,125.58,0,6749.75,7026.73,4362.03,2836.34,10829.46,429.77,2017.7,-1811.54,1341.95,3471.51,8526.19,-7104.29,-8627.03,761.97,676.25,5.73,4.98,0
Accedere,531533,,IT - Software,71.3,0.48,5.12,8.43,0.32,201.91,224,51.67,35.84,-12.75,60.71,36.56,0.81,10.39,0.36,-2.04,-0.27,-0.25,13.49,213.21,129.64,73.32,62.54,36.51,128.94,54.02,128.94,54.02,,8.74,-0.01,0.02,42.6,32.88,,49.12,0.01,0.01,0.47,0.33,3.09,3.13,3.15,0.41,1.31,-1.72,-0.94,1.41,2.6,-3.05,-3.46,8.26,8.3,0.07,0.25,0
Accel,517494,,IT - Software,16.43,2.7,183,1.42,0.39,34.64,42.42,8.65,94.59,-35.67,6.49,-3.88,4.32,0.58,1.67,8.32,1.54,9.72,2.4,34.64,-14.59,84.82,13.45,61.35,-29.45,18.83,-29.56,18.79,11.16,-0.71,9.93,1.95,-0.33,50.2,32.29,40.28,70.52,24.73,77.93,45.95,-1.21,2.43,83.4,64.47,-7.44,32.29,-17.97,51.48,59.26,-18.74,-79.42,15.7,13.94,7.23,12.28,0
AccelerateBS Ind,543938,,IT - Software,88,,7.05,6.92,2.12,59.51,41.45,37.4,30.26,-56.66,,,,4.47,3.3,0.73,,36.66,10.17,59.51,101.03,106.97,,,,,,,,,,,,,,-0.15,,,,,,,0.33,1.73,5.44,-1.02,,-0.36,,-1.26,,,,,,
Accelya Solution,532268,ACCELYA,IT - Software,1400.9,36.62,449.34,7.53,86.44,18.87,16.21,14.44,2091.02,-21.79,5.87,7.77,44.16,3.95,79.03,125.66,30.8,55.81,11.35,21.44,54.77,58.75,12.8,5.11,19.25,8.3,19.25,8.3,5.42,0,135.73,96.35,13.23,5.45,4.34,8.9,24.96,49.46,101.36,136.84,104.99,109.46,96.61,62.02,206.28,396.43,565.42,434.17,639.08,-59.69,-142.74,175.99,159.83,,,0
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,279,22.77,228.37,3.44,13.78,18.89,20.24,27.14,669.29,7.78,,,23.28,2.53,51.02,-12.15,15.61,27.13,8.33,18.89,73.36,75.22,16.88,15.05,77.72,51.23,50.93,10.06,,,24.09,17.44,48.32,30.49,,19.05,24.1,29.93,30.12,28.8,10,14.35,47.99,1.52,123.96,-10.65,0.24,43.57,63.48,-94.99,-105.56,,,3.28,3.75,0
Accord Synergy,,ACCORD,Telecom - Services,21.85,-7.5,17.73,0.56,-3.66,6.7,,-3.44,7.59,-24.78,-3.79,-4,-2.07,0.28,0.29,-2.33,-1.67,-1.84,3.91,26.03,150.97,128.76,3.08,-16.38,21.41,,21.41,,,0,-0.88,-1.19,21.32,,,-19.27,1.66,7.82,1.74,2.83,5.95,23.59,0.92,0.51,12.52,-5.72,9.99,-5.57,10.14,6.58,-1.34,40.67,57.75,2.02,0.21,0
Accretion Pha.,,ACCPL,Pharmaceuticals & Biotechnology,62,,39.87,,8.31,7.92,10.15,11.8,68.92,,,,,1.2,0.05,4.22,,46.35,5.98,7.92,127.4,116.37,,,,,,,,,,,,,,329.81,,,,,,,6.09,14.11,10.32,,,,,,,,,,,
Accuracy Shippi.,,ACCURACY,Transport Services,6.95,7.57,313.25,0.87,0.16,15.65,43.78,183.63,104.64,-32.98,13.01,-29.95,3.66,0.12,15.06,-6.81,1.44,7.93,4.34,19.72,23.97,52.98,4.81,22.34,-36.65,3.67,-36.65,3.67,-16.01,0,21.81,7.82,-14.01,1.38,2.01,7.03,116.51,76.35,54.44,50.5,92.4,61.42,65.21,130.41,59.65,34.5,12.34,78.18,79.8,-48.21,-76.68,7.15,5.43,18.8,56.15,0
ACE Alpha Tech,544431,,IT - Software,105.75,,33.38,,7.99,12.78,16.58,37.22,185.68,,,,59.15,11.96,0.44,3.19,76.67,124.54,12.95,12.78,255.85,129.24,264.76,,353.61,,-59.46,,,,6.71,5.07,348.92,,,204.09,0,,0.03,,0.42,,2.3,0,20.39,6.9,,10.56,,-2.63,,,,,,0
ACE EduTremd Ltd,530093,,Other Consumer Services,4.04,-3.93,12.36,0.47,-0.69,,,-371.68,3.7,22.42,,18.96,-3.89,,0.01,-0.01,-2.69,-3.25,1.32,,0,0,,,-20.63,-4.9,-20.63,-4.9,3.43,0,-0.31,-0.36,,,,-100,0,0,1.08,1.79,1.51,0.98,0.97,0,1.12,-0.04,0,-0.04,0,0,0,9.96,10.44,,,0
Ace Engitech,530669,,IT - Services,179.45,-32.86,0.46,192.66,-5.59,498.5,,-179.45,15.41,275.89,145.07,115.58,-43.48,,0,-0.09,-31.55,-62.2,49.94,498.5,2721.63,-3308.8,,,,-19.18,,,,-0.03,-0.2,-0.21,,-20.31,4.54,-8,0,0,0.01,0.03,-0.07,0.02,0.01,0,-0.23,-61779.92,-61779.86,-65408.05,-65407.96,61126.07,61126.1,2.51,1.76,,,0
Ace Integrated,,ACEINTEG,Commercial Services & Supplies,23.93,,18.21,1.39,-1.53,77.17,,-162.72,24.41,-29.72,,-12.11,,2.85,3.19,-0.15,,-4.61,4.26,77.17,403.13,209.08,,,,,,,,0,,,,,,-6.46,,,,,,,1.79,0.14,10.23,1.11,,0.98,,-1.3,,,,,,
Ace Men,539661,,Retailing,93.14,4.82,4.31,7.5,-0.06,75,,,28.86,37.58,35.22,32.38,0.87,,0.02,0,0.52,1.4,11.92,75,-136.75,0,,,,9.86,,9.86,7.57,0,0.23,0.17,,9.86,7.57,53.13,0,0,0,0,-4.03,0.02,0,0,-0.13,0.02,0.01,0.02,0.01,0,0,12.1,10.42,,,0
Ace Soft. Exp.,531525,,IT - Software,301.65,3.26,104.83,4.36,4.4,29.21,68.39,-39.44,385.06,57.04,103.94,205.98,5.91,9.73,38.28,-33.54,3.86,4.75,8.21,35.73,130.23,19.52,47.76,28.12,101.3,35.52,86.83,31.2,20.22,0.19,1.22,0.93,172.84,40.43,27.43,10.51,1.77,1.72,8.35,9.05,4.9,6.02,39.03,5.73,47.55,-34.81,-32.41,-13.82,-11.95,-17.01,-19.19,20.81,20.91,0.46,0.22,0
Achyut Healthcar,543499,,Pharmaceuticals & Biotechnology,5.34,1.99,32.59,4.02,0.02,174.5,228.71,-30.99,125.79,49.58,,87.51,2.06,41.24,1,-14.92,2,2.72,8.08,174.5,1222.95,73.74,-9.02,56.01,139.57,122.88,101.9,6.98,,-19.8,0.37,0.28,87.06,104.77,,-18.18,0,0,0.03,0,6.96,0.2,0.03,0,10.77,-25.04,-32.02,-4.85,-11.8,-15.35,-16.95,0.64,,28.87,4.6,12.1
ACI Infocom,517356,,IT - Hardware,1.8,-0.14,17.19,1.21,-0.06,72.17,,-90.41,19.89,-16.67,29.72,14.47,-0.68,14.73,0.07,-0.25,-0.66,-0.29,3.55,76.5,3283.08,160.18,87.76,5.97,,,,,,0,0.03,-0.02,,,,-95.19,0,0,0.02,0.02,7.42,8.38,0,0,5.81,1.43,3.47,1.47,3.51,-1.43,-3.56,1.51,1.51,0.43,0,0
Acknit Indus.,530043,,Textiles & Apparels,297,11.95,170.07,1.03,28.68,5.78,10.35,8.86,90.29,-0.88,37.2,19.65,11.89,0.38,0.19,3.14,5.98,11.61,3.58,6.46,60.93,48.99,3.68,7.22,7.03,15.49,7.03,15.49,17.16,3.78,13.79,7.96,4.42,7.15,6.25,8.95,62.07,47.28,37.04,31.88,26.94,22.47,34.78,58.63,45.61,12.9,4.5,26.94,28.31,-14.14,-23.65,203.06,178.36,2.27,2.2,0
Acme Resources,539391,,Finance,38.91,1.04,155.81,0.77,1.49,10.34,26.15,82.64,100.17,5.42,34.59,19.41,4.71,8.93,9.16,1.21,4.33,6.22,2.67,10.85,551.39,26.76,11.13,-6.42,10.13,53.65,10.13,53.65,21.57,0,2.03,1.25,0.14,-1.96,-1.16,11.44,3.29,4.85,0.06,0.59,29.57,29.76,0.05,19.4,37.1,-8.27,20.95,-8.27,20.52,-0.76,-25.99,43.95,42.92,0.09,0.05,0
ACME Solar Hold.,544283,ACMESOLAR,Power,296.3,0.51,18403.74,3.97,6.35,79.88,43.79,11.62,17928.75,,,,4.6,11.16,2916.03,-1719.04,0.78,8.01,2.38,79.88,22.16,137.5,-1.89,-4.59,48.17,25.6,30.38,-11.61,,,921.05,11.41,2.24,-4.08,,-4.81,7914.53,10592.51,6177.11,9650.35,1093.81,187.67,12315.14,10975.73,2462.22,-2592,-1527.29,4235.3,6936.27,-7268.28,-7234.91,,,,,0
Acrow India,513149,,Industrial Products,662.05,-1.33,27.87,1.89,-14.37,73.59,,-50.93,42.37,-10.53,53.3,2.39,-0.41,13.08,0.07,0.79,-0.28,1.78,4.68,76.29,2311.67,383.02,,,-2.05,,-2.05,,,0.04,-0.03,-0.3,63.95,63.92,48.3,-100,0,0,3.98,4.26,9.32,7.79,2.4,0,20.59,-0.94,-0.59,-2.61,-3.85,-4.51,-2.08,347.34,333.91,1.91,0,
ACS Tech,530745,,IT - Services,29.29,,164.03,1.8,0.77,29.8,38.01,12.36,177.91,,,,5.66,1.29,1.72,8.85,4.07,7.53,3.87,29.8,188.34,187.63,,,679.15,,824.62,,,34.33,,,920.57,,,18.06,27.81,,0,,-4.1,,43.72,27.46,38.64,-60.14,,-34.53,,-26.63,,-3.14,,,,
Action Const.Eq.,532762,ACE,"Agricultural, Commercial & Construction Vehicles",1056.6,24.1,2710.25,7.79,35.5,27.44,29.76,30.55,12582.33,-16.33,76.49,54.34,26.79,3.88,55.47,206.46,15.04,36.19,10.12,32.96,-13.14,26.08,26.86,23.54,57.26,51.12,57.26,49.67,34.03,-1.35,303.72,214.72,55.07,44.86,29.49,32.53,31.02,82.41,451.68,412.06,92.74,16.14,715.86,16.44,-134.51,712.49,841.76,1119.68,1309.26,-967.91,-1185.62,63.32,46.11,3.93,3.21,0
Active Clothing,541144,,Textiles & Apparels,140.5,4.94,279.11,2.82,7.32,32.7,19.19,-21,217.95,24.17,72.68,59.31,7.66,0.69,0.23,-21.02,2.41,9.58,3.27,35.17,66.19,114.51,37.04,14.89,153.29,57.93,153.29,57.93,19.77,0,11.76,3.23,43.37,16.2,8.47,39.46,51.29,65.35,31.37,37.42,51.15,41.88,53.03,118.1,50.44,-22.97,-13.22,24.65,35.1,-47.45,-47.93,40.03,39.69,1.29,0.76,0
Active Infra.,,ACTIVEINFR,Realty,170,,194.29,2.28,6.31,24.46,26.93,50.2,255.26,,,,24.93,2.84,62.19,1.76,8.66,14.66,4.27,24.46,59.74,105.36,333.74,,372.27,,260.83,,,,,,505.09,,,8.7,109.19,,1.4,,9.36,,30.66,55.83,88.72,17.81,,55.18,,-40.69,,,,,,0
Acutaas Chemical,543349,ACUTAAS,Pharmaceuticals & Biotechnology,1474.6,16.04,1549.26,9.22,23.09,56.43,63.86,102.05,12072.39,108.26,,41.83,13.83,11.64,248.93,-76.3,10.38,18.83,15.32,56.43,114.3,115.52,24.63,33.26,30.17,41.4,25.22,7.7,-15.24,-8.39,126.56,85.61,32.13,41.03,33.19,40.34,0.84,59.42,204.53,85.19,300.25,26.41,570.39,12.93,589.39,-262.35,-384.65,309.04,325.07,-622.34,-844.27,71.64,,3.41,3.28,0
AD Manum Finance,511359,,Finance,74.69,8.71,88.26,0.7,14.55,7.21,5.13,112.04,56.02,-20.65,35.84,22.33,10.65,4.09,0.49,0.98,9.37,14.02,3.02,7.72,95.2,61.09,14.63,6.02,55,13.62,55,13.62,28.6,3.94,7.99,5.38,59.8,9.26,10.98,4.08,8.54,48.03,1.89,2.32,6.61,4.21,0.24,7.61,2.03,2.2,45.79,0.11,43.61,2.16,3.08,75.55,72.44,,,0
Adani Energy Sol,539254,ADANIENSOL,Power,755.95,12.14,73902.25,4.12,19.95,71.41,37.9,10.44,90810.96,-23.28,22.69,-42.09,11.57,3.6,3618.68,-682.92,2.62,9.81,3.02,99.47,-56.39,62.18,28.29,15.8,25.25,26.02,21.62,23.82,9.7,-2.67,4507.57,1420,12.12,11.35,14.92,18.08,29901.79,24245.73,30271.77,24924.2,-1599.31,2743.09,39554.75,40275.28,1374.14,-1000.06,-1262.3,18509.83,26390.77,-24863.7,-32809.07,90.13,81.1,15.89,7.45,0
Adani Enterp.,512599,ADANIENT,Metals & Minerals Trading,2281.4,8.58,197842.88,5.23,55.46,83.18,73.55,58.35,263511,-23.33,51.56,-13.08,9.78,2.79,6962.46,-24294.3,2.45,9.6,3.1,101.81,-52.7,36.28,12.14,17.67,78.26,35.59,75.42,34.29,23.42,1.69,7166.45,2491.77,51.41,41.27,29.67,1.53,41604.03,12419.3,30122.77,10476.46,-12967.41,839.08,77260.14,91819.17,-8912.85,-33256.71,-42832.72,32451.75,37880.34,-59934.82,-85586.1,202.37,156.02,12.59,14.01,0
Adani Green,541450,ADANIGREEN,Power,929.35,15.96,110764,12.13,10.69,353.73,81.18,18.03,150795.98,-50.12,10.94,-26.57,16.04,12.29,3332,-16397,2,8.76,2.57,237.75,-505.42,68.87,29.75,34.49,56.44,127.48,55.78,126.9,44.7,1.41,4995.8,957.94,38.63,47.1,42.26,22.58,52832,14866.19,28452,12553.76,-6508,-650.1,79914,80040,-10070,-20457,-36714,23342,28070,-44745,-72612,16.71,14.07,0,1.44,0
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,1321.8,16.88,133442.65,4.59,52.28,25.86,25.09,16.57,285527.17,-8.36,30.29,14.75,17.28,8.75,6605.97,9228.08,7.46,12.08,4.7,27.79,-90.65,57.49,21.2,20.75,27.34,23.07,26.39,21.57,15.54,-0.13,10934.79,7235.72,18.49,19.76,13.37,21.81,47934.75,30242.32,62552.92,32714.51,6671.92,7111.55,89616.32,51620.73,-2932.95,19818.32,31800.55,44143.36,62119.28,-33450.01,-53007.26,197.98,149.83,1.44,1.19,0
Adani Power,533096,ADANIPOWER,Power,609.7,37.41,112917.57,4.17,32.18,15.82,18.95,10.94,235157.57,-3.94,74.95,14.49,40.43,4.25,6119.88,9957.23,16.24,23.53,5.17,14.97,9.1,92.58,26.58,16.25,37.69,65.69,37.69,65.69,35.01,-0.01,14619.67,10158.2,20.13,27.58,21.36,11.62,49144.98,55198.76,53274.21,55845.81,-1098.84,-3598.76,69297.45,39494.87,8834.76,26713.17,36919.29,44101.79,61348.87,-12116.36,-13529.47,47.85,34,6.89,6.5,0
Adani Total Gas,542066,ATGL,Gas,590.4,20.79,7664.71,15.43,5.89,127.71,100.23,67.37,64932.79,-28.59,24.82,-45.57,19,12.41,468.75,23.02,10.32,19.8,15.35,170.01,-103.25,30.23,18.07,21.68,8.75,8.72,8.75,8.72,-0.52,0,843.15,570.12,12.94,13.28,15.13,11.74,1035.16,428.27,1732.98,1198.01,-1102.44,-33.02,3650.94,1834.1,-445.34,-143.61,-314.71,2771.85,4157.46,-2852.23,-4755.71,21.97,17.58,30.81,17.08,0
Adarsh Plant,526711,,Fertilizers & Agrochemicals,25,-3.85,7.93,70.8,-1.01,80.16,,43.42,24.78,-26.94,40.23,16.77,-16.23,1.54,0.1,0.35,-1.91,-0.09,7.05,79.05,53.43,63.55,0.73,6.62,,,,,0.93,3.18,0.17,-0.03,,,-7.97,0.47,5.67,5.71,0.48,0.38,3.02,-0.16,0.63,4.25,1.85,2.12,2.77,2.5,3.33,-0.4,-0.57,0.84,0.73,4.33,3.34,0
ADC India,523411,,Telecom -  Equipment & Accessories,1544.65,24.13,114.38,10.15,48.85,22.76,31.62,27.4,710.54,-22.47,52.48,55.15,29.15,3.87,59.37,25.93,18.58,37.87,13.94,28.17,30.93,56.08,15.73,19.08,42.35,45.12,42.35,45.12,31.8,0,17.67,13.08,41.33,39.48,27.1,18.39,0,0.16,3.03,3.7,43.81,31.64,2.76,0,63.58,41.12,54.07,41.12,54.12,4.38,5.51,109.22,93.2,8.47,4.84,0
Adcon Capital,539506,,Finance,0.65,3.27,44.03,0.38,0.13,26.67,5.18,-9.92,12.89,-27.78,-28.38,-52.75,2.92,3.61,0.35,-1.3,1.49,2.53,2.83,26.67,1537.89,141.45,66.59,65.11,74.54,155.56,107.03,183.12,60.95,0,0.75,0.59,76.52,167.71,51.52,89.88,0,0,0,0,0.97,2.92,0,0,34.71,-29.39,-29.16,-29.39,-29.16,0.76,1.16,0.12,0.11,,,0
Adcounty Media.,544435,,Media,203,55.69,47.92,,8.31,15.83,33.22,-1903.13,456.77,,,,55.69,6.63,8.21,-0.29,32.83,86.02,19.91,15.83,75.15,123.52,30.52,28.94,90.15,66.33,-83.92,-62.22,,,8.86,6.53,89.35,65.84,,61.51,0,0,0.28,0.15,0.77,1.27,1.11,0.94,33.19,5.46,,5.75,,-8.35,,,,,,17.39
Add-Shop E-Reta.,541865,,Retailing,9.99,15.47,155.47,0.25,0.84,12.06,11.93,-2.82,28.28,-40.18,-8.04,-51.06,8.76,0.2,0.39,-9.83,7.9,16.09,3,11.92,179.82,182.61,-0.25,33.1,-44.21,22.17,-38.19,29.78,-10.53,-25.77,15.41,10.5,-36.83,18.34,48.23,26.24,3.3,7.44,7,3.6,35.8,10.54,5.37,37.81,87.12,-83.44,-78.35,-83.42,-74.13,3.11,-1.09,10.23,5.26,8.77,7.44,0
Addi Industries,507852,,Textiles & Apparels,104.7,3.84,80.04,1.43,3.79,14.75,27.64,51.4,113.04,120.05,73.81,37.13,4.69,,63.41,1.88,4.59,6.17,4.86,14.91,0,0,,,85.02,44.92,85.02,44.92,47.89,0,2.52,2.13,109.49,55.46,49.72,,0,0,4.97,7.25,44.83,5.13,4.45,0.01,65.9,6.28,44.26,-10.93,-9.45,13.7,10.07,52.83,18.19,,,
Addictive Learn,,LAWSIKHO,Other Consumer Services,145.45,,90.64,2.99,6.13,30.78,23.71,14.11,231.41,-54.8,,,17.36,3.09,1.37,-24,25.5,203.41,6.49,30.78,-30.9,1.42,59.15,97.36,179.86,296.34,26.25,21.18,,,6.66,3.65,198.18,360.37,,90.67,0.1,0,0.16,0.02,-0.58,-0.13,52.58,0,-8.69,-26.28,-26.26,35.99,36.22,-94,-94.08,,,,,0
Adeshwar Meditex,543309,,Healthcare Services,17.99,5.86,72.2,0.7,1.43,18.34,13.11,6.82,25.96,-28.04,,-10.39,5.95,0.31,2.81,3.86,2.98,9.32,3.2,18.34,127.14,130.6,8.93,8.33,35.84,-1.36,35.84,-19.37,-17.1,14.9,4.33,1.73,8.2,-4.56,-3.23,4.83,18.99,21.32,3.03,2.28,28.01,20.8,2.95,12.45,33.95,11.84,11.06,13.41,14.12,-0.87,-2.74,21.45,,2.14,2.69,0
ADF Foods,519183,ADFFOODS,Food Products,239.49,15.77,618.25,5.34,6.38,32.25,37.53,70.34,2631.12,-9.4,27.33,19.31,14.91,4.38,66.01,-3.69,11.7,17.75,9.92,33.67,115.63,75.02,11.86,15.63,10.93,8.63,9.2,6.63,19.43,-0.45,78.53,57.58,12.27,11.42,16.04,13.89,69.92,23.16,160.2,77.2,204.32,100.45,185.75,59.23,265.4,74.81,106.71,157.78,227.42,-85.63,-146.83,32.73,27.32,2.49,3.01,0
Adhata Global,531286,,Consumer Durables,42.21,-16.2,14.01,12.06,-0.78,88.49,221.11,-17.25,19.9,,,,-56.4,3.14,0.14,-1.15,-10.55,-14.13,3.12,88.49,47.77,313.42,-10.37,-17.17,31.46,-27.87,31.46,-27.87,23.97,-3.37,-0.46,-0.75,52.63,-19.34,33.61,6.21,4.24,2.65,0.54,0.43,5.34,5.9,0.25,3.1,1.87,-1.75,-0.97,-1.79,-0.44,1.96,1.07,,,0.98,4.68,2.58
Adhbhut Infra.,539189,,Realty,18.3,,31.65,,-0.85,41.9,,-47.93,20.13,-24.22,,,,34.71,0.01,-0.44,1.21,99.25,0.6,41.9,650.38,796.14,-31.83,35.76,11.77,,11.77,,,-1.33,0.22,0,34.76,80.2,31.36,-19.08,6,5.78,42.9,43.07,-0.56,-31.44,27.57,6.74,3.23,-0.08,-0.06,-0.06,-0.04,0.01,0.01,0.96,5.21,,,0
Adinath Textiles,514113,,Textiles & Apparels,17.1,16.18,4.18,3.92,0.1,35.39,166.43,-9.94,11.65,-43.69,60.81,-23.27,15.91,,0.24,-1.18,10.83,19.73,5.51,35.39,0,0,,,-22.05,26.86,-22.05,26.86,13.38,-0.01,0.43,0.35,-24.18,9.1,39.92,,0.45,0.6,0.73,0.98,-0.38,-0.22,0.57,0.01,0.03,-3.71,-6.01,-3.69,-5.94,3.79,5.91,2.58,2.26,14,20,
